t,c,ch,h,l,mv,ra,se,va,vo
061651,1034.48,-15.59,1034.48,1034.48,263200,-1.48,1599,2275665000000,100752500
061646,1034.58,-15.49,1034.58,1034.58,89600,-1.48,1598,2269625000000,100489300
061641,1034.72,-15.35,1034.72,1034.72,78500,-1.46,1597,2267612000000,100399700
061636,1034.86,-15.21,1034.86,1034.86,121300,-1.45,1596,2266018000000,100321200
061631,1034.97,-15.1,1034.97,1034.97,99000,-1.44,1595,2263601000000,100199900
061626,1034.92,-15.15,1034.92,1034.92,93000,-1.44,1594,2261622000000,100100900
061736,1033.79,-16.28,1033.79,1033.79,192100,-1.55,1608,2297673000000,101821800
061731,1033.83,-16.24,1033.83,1033.83,127300,-1.55,1607,2295107000000,101629700
061726,1034.05,-16.02,1034.05,1034.05,44600,-1.53,1606,2292471000000,101502400
061721,1034.25,-15.82,1034.25,1034.25,195100,-1.51,1605,2291409000000,101457800
061716,1034.05,-16.02,1034.05,1034.05,71200,-1.53,1604,2287299000000,101262700
061711,1034.05,-16.02,1034.05,1034.05,119300,-1.53,1603,2285724000000,101191500
061706,1034.32,-15.75,1034.32,1034.32,69900,-1.5,1602,2283345000000,101072200
061701,1034.1,-15.97,1034.1,1034.1,136300,-1.52,1601,2281894000000,101002300
061816,1033.43,-16.64,1033.43,1033.43,99500,-1.58,1616,2313573000000,102573700
061811,1033.41,-16.66,1033.41,1033.41,82600,-1.59,1615,2311279000000,102474200
061806,1033.7,-16.37,1033.7,1033.7,114800,-1.56,1614,2309312000000,102391600
061801,1033.63,-16.44,1033.63,1033.63,172300,-1.57,1613,2307162000000,102276800
061756,1033.53,-16.54,1033.53,1033.53,18100,-1.58,1612,2303453000000,102104500
061751,1033.89,-16.18,1033.89,1033.89,124000,-1.54,1611,2302801000000,102086400
061746,1033.65,-16.42,1033.65,1033.65,107400,-1.56,1610,2300574000000,101962400
061741,1033.88,-16.19,1033.88,1033.88,33200,-1.54,1609,2298536000000,101855000
061851,1033.54,-16.53,1033.54,1033.54,73800,-1.57,1623,2326969000000,103106400
061846,1033.43,-16.64,1033.43,1033.43,69300,-1.58,1622,2324667000000,103032600
061841,1033.36,-16.71,1033.36,1033.36,46600,-1.59,1621,2323140000000,102963300
061836,1033.23,-16.84,1033.23,1033.23,54400,-1.6,1620,2321922000000,102916700
061831,1033.58,-16.49,1033.58,1033.58,41200,-1.57,1619,2320456000000,102862300
061826,1033.69,-16.38,1033.69,1033.69,116200,-1.56,1618,2319380000000,102821100
061821,1033.6,-16.47,1033.6,1033.6,131200,-1.57,1617,2316444000000,102704900
061931,1032.82,-17.25,1032.82,1032.82,21800,-1.64,1631,2336489000000,103521700
061926,1033.11,-16.96,1033.11,1033.11,84900,-1.62,1630,2336059000000,103499900
061921,1033.16,-16.91,1033.16,1033.16,57900,-1.61,1629,2334540000000,103415000
061916,1033.49,-16.58,1033.49,1033.49,31000,-1.58,1628,2333040000000,103357100
061911,1033.14,-16.93,1033.14,1033.14,41500,-1.61,1627,2332383000000,103326100
061906,1033.28,-16.79,1033.28,1033.28,54800,-1.6,1626,2331102000000,103284600
061901,1033.38,-16.69,1033.38,1033.38,86200,-1.59,1625,2330033000000,103229800
061856,1033.39,-16.68,1033.39,1033.39,37200,-1.59,1624,2327720000000,103143600
062006,1033.27,-16.8,1033.27,1033.27,27100,-1.6,1638,2345938000000,103947400
062001,1033.25,-16.82,1033.25,1033.25,36500,-1.6,1637,2345073000000,103920300
